Name,Price,Offer_price,Percentage_Offer
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Purple)","₹ 29,499","₹ 33,999",13% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","₹ 29,499","₹ 33,999",13% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","₹ 29,499","₹ 33,999",13% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM,512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Purple)","₹ 33,499","₹ 37,999",12% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","₹ 33,499","₹ 37,999",12% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","₹ 31,499","₹ 35,999",13% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display |MediaTek Dimensity 7200-Ultra (Fusion Purple)","₹ 31,499","₹ 35,999",13% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","₹ 33,499","₹ 37,999",12% OFF
"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","₹ 31,499","₹ 35,999",13% OFF
"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Raisin Black)","₹ 30,999","₹ 32,999",6% OFF
"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Apricot Crush)","₹ 30,999","₹ 32,999",6% OFF
"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (8GB RAM, 128GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Raisin Black)","₹ 24,999","₹ 26,999",7% OFF
